"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"465",21610,"HX480966","10/24/14","055XX W CORCORAN PL",110,"HOMICIDE","FIRST DEGREE MURDER","STREET",TRUE,FALSE,1523,15,28,25,"01A",1139285,1902014,2014,"8/17/2015 15:03",41.88723854,-87.76396419,"(41.887238537, -87.763964185)"
"466",21609,"HX479713","10/24/14","079XX S JUSTINE ST",110,"HOMICIDE","FIRST DEGREE MURDER","STREET",TRUE,FALSE,612,6,21,71,"01A",1167389,1851929,2014,"8/17/2015 15:03",41.74924189,-87.66219457,"(41.749241885, -87.662194572)"
"467",21608,"HX479519","10/23/14","014XX W 72ND PL",110,"HOMICIDE","FIRST DEGREE MURDER","STREET",TRUE,FALSE,734,7,17,67,"01A",1168084,1856673,2014,"8/17/2015 15:03",41.76224516,-87.65951166,"(41.762245159, -87.65951166)"
"468",21606,"HX477901","10/22/14","041XX W 63RD ST",110,"HOMICIDE","FIRST DEGREE MURDER","HOUSE",TRUE,TRUE,813,8,13,65,"01A",1149998,1862507,2014,"8/17/2015 15:03",41.77862426,-87.72564888,"(41.778624258, -87.725648875)"
"469",21605,"HX265483","10/21/14","072XX S ARTESIAN AVE",110,"HOMICIDE","FIRST DEGREE MURDER","STREET",FALSE,FALSE,832,8,18,66,"01A",1161295,1856595,2014,"8/17/2015 15:03",41.76217435,-87.68439652,"(41.762174354, -87.684396522)"
"470",21604,"HX473265","10/19/14","053XX W OAKDALE AVE",110,"HOMICIDE","FIRST DEGREE MURDER","APARTMENT",FALSE,FALSE,2514,25,31,19,"01A",1140324,1919097,2014,"8/17/2015 15:03",41.93409725,-87.75972908,"(41.934097247, -87.759729084)"
"471",21603,"HX472024","10/18/14","067XX S THROOP ST",110,"HOMICIDE","FIRST DEGREE MURDER","HALLWAY",FALSE,FALSE,724,7,17,67,"01A",1168818,1860115,2014,"8/17/2015 15:03",41.77167464,-87.65672221,"(41.771674639, -87.656722213)"
"472",21602,"HX471999","10/18/14","093XX S WENTWORTH AVE",110,"HOMICIDE","FIRST DEGREE MURDER","STREET",FALSE,FALSE,634,6,21,49,"01A",1176593,1843038,2014,"8/17/2015 15:03",41.7246419,-87.62873435,"(41.724641899, -87.628734346)"
"473",21986,"HX470605","10/17/14","045XX W PARKER AVE",110,"HOMICIDE","FIRST DEGREE MURDER","APARTMENT",TRUE,FALSE,2521,25,31,20,"01A",1145657,1917861,2014,"8/17/2015 15:03",41.93060596,-87.74016163,"(41.930605964, -87.740161629)"
"474",21987,"HX470605","10/17/14","045XX W PARKER AVE",110,"HOMICIDE","FIRST DEGREE MURDER","APARTMENT",TRUE,FALSE,2521,25,31,20,"01A",1145657,1917861,2014,"8/17/2015 15:03",41.93060596,-87.74016163,"(41.930605964, -87.740161629)"
